no,lat,long,bp,er,site,feature
2293,35.3406305,126.9548048,2865,20,함평 신흥동유적 Ⅱ,5호 주거지 
2294,35.3406305,126.9548048,2550,40,함평 신흥동유적Ⅲ,11호 주거지 바닥면
2295,35.3406305,126.9548048,2590,60,함평 신흥동유적Ⅲ,03호 주거지 타원형 구덩이
2296,34.4277943,126.5790891,2430,50,해남 황산리 분토유적 Ⅱ,청동기 1호 주거지
2297,34.4277943,126.5790891,2550,50,해남 황산리 분토유적 Ⅱ,청동기 7호 주거지
2298,34.4277943,126.5790891,2680,50,해남 황산리 분토유적 Ⅱ,청동기 9호 주거지
2299,36.5867001,126.6682123,2660,40,홍성 남장리 유적,12호
2300,36.5867001,126.6682123,2790,50,홍성 남장리 유적,17호
2301,36.5867001,126.6682123,2670,40,홍성 남장리 유적,02호
2302,36.5867001,126.6682123,2800,50,홍성 남장리 유적,03호
2303,36.5904175,126.6664532,2810,70,홍성 남장리 유적,청동기시대 4호 주거지
2304,36.5904175,126.6664532,1590,60,홍성 남장리 유적,청동기시대 5호 주거지
2305,36.6425636,126.6884889,2640,50,홍성 대동리 유적,대동리유적 KC-002
2306,36.6425636,126.6884889,2690,50,홍성 대동리 유적,대동리유적 KC-005
2307,36.6305097,126.673508,2510,60,홍성 봉신리 유적,봉신리유적 KC-003
2308,36.6305097,126.673508,2460,50,홍성 봉신리 유적,봉신리유적 KC-004
2309,36.6305097,126.673508,2560,50,홍성 봉신리 유적,봉신리유적 KC-005
2310,36.6305097,126.673508,2420,50,홍성 봉신리 유적,봉신리유적 KC-010
2311,36.6305097,126.673508,2600,50,홍성 봉신리 유적,봉신리유적 KC-011
2312,36.6305097,126.673508,2960,50,홍성 봉신리 유적,봉신리유적 KC-014
2313,36.6305097,126.673508,2760,50,홍성 봉신리 유적,봉신리유적 KC-017
2314,36.6528728,126.671258,2540,50,홍성 신경리 자경동 유적,II-B 지점 2호
2315,36.6528728,126.671258,2510,50,홍성 신경리 자경동 유적,II-C 지점 13호
2316,36.6528728,126.671258,2830,50,홍성 신경리 자경동 유적,II-C 지점 15호
2317,36.6528728,126.671258,2900,50,홍성 신경리 자경동 유적,II-C 지점 02호
2318,36.6528728,126.671258,2480,50,홍성 신경리 자경동 유적,II-C 지점 03호
2319,36.6528728,126.671258,2500,50,홍성 신경리 자경동 유적,II-C 지점 04호
2320,36.6528728,126.671258,2500,50,홍성 신경리 자경동 유적,II-C 지점 05호
2321,36.6528728,126.671258,2450,50,홍성 신경리 자경동 유적,II-C 지점 09호
2322,36.6528728,126.671258,2850,50,홍성 신경리 자경동 유적,III-A 지점 01호
2323,36.6528728,126.671258,2810,50,홍성 신경리 자경동 유적,III-A 지점 02호
2324,36.6528728,126.671258,2810,50,홍성 신경리 자경동 유적,III-A 지점 03호
2325,36.6528728,126.671258,2860,50,홍성 신경리 자경동 유적,III-C 지점 01호
2326,36.6528728,126.671258,2840,50,홍성 신경리 자경동 유적,III-C 지점 04호
2327,36.5741559,126.6923891,2370,30,"홍성 신기리, 구룡리 유적",청동기 6호주거지
2328,36.5741559,126.6923891,2470,40,"홍성 신기리, 구룡리 유적",청동기 7호주거지
2329,36.5741559,126.6923891,2450,30,"홍성 신기리, 구룡리 유적",청동기 8호주거지
2330,37.759184,127.9690833,2940,60,홍천 외삼포리 유적,1호 주거지
2331,37.759184,127.9690833,2810,50,홍천 외삼포리 유적,2호 주거지
2332,37.759184,127.9690833,3080,60,홍천 외삼포리 유적,3호 주거지
2333,37.759184,127.9690833,2820,50,홍천 외삼포리 유적,4호 주거지
2334,37.759184,127.9690833,3120,80,홍천 외삼포리 유적,5호 주거지
2335,37.8132412,127.9838712,3840,50,홍천 철정리 Ⅱ유적,청A-01호
2336,37.8132412,127.9838712,3000,50,홍천 철정리 Ⅱ유적,청A-22호
2337,37.8132412,127.9838712,2930,50,홍천 철정리 Ⅱ유적,청A-23호
